Num	Catégorie	Intitulé	Langue	Durée	Prix	Lien Mega	Premier Lien Mega
68	Informatique programmation	Ce que vous devez savoir avant d'apprendre la programmation	Français	02:08 min	0 Fcfa	OUI	https://mega.nz/embed/lVxwxTjD#TY_UfJqSsOWEV2iaXPagqQquFTT8A2LPY5lttpGNZfM!1a
69	Informatique programmation	C++ par la pratique - apprenez en codant	Français	03:08 min	0 Fcfa	OUI	https://mega.nz/embed/IVAGmABL#5M76md4vMkaDILlwH8UYA0FjEZfH_gqx1gP0QAAEmbs!1a
70	Informatique programmation	Bootcamp développeur web front-end html, css, js, et react	Français	02:06 min	0 Fcfa	OUI	https://mega.nz/embed/lBpx3TyQ#C3F37PkQ9Z3jq3xt7x7JefNxqycOg_npKe2tzo029Pw!1a
71	Informatique programmation	Apprenez à hacker des sites web wordpress et à les sécuriser	Français	03:05 min	0 Fcfa	OUI	https://mega.nz/embed/QBQEzJZY#0zkjHcjNmk97YHkjs9-dBQzkeArMIzfa2-56Izoz9RU!1a
72	Informatique programmation	Apprendre le langage php	Français	01:04 min	12 Fcfa	OUI	https://mega.nz/embed/1Zh2TBpT#wHCXgYpR4JGUX1DStOt0CaO8J4kuVIUtE8S0Tb50Z3s!1a
73	Informatique programmation	Apprendre à programmer en c++ le guide complet 2023	Français	01:03 min	0 Fcfa	OUI	https://mega.nz/embed/FAYHXSKb#Mebc8O_d0OFaoQV1KAoOYRBOpoU_T2jGK-tvFW_uPDY!1a
74	Informatique programmation	Application reactjs + api laravel 2020 fr web 720p x264 mp4	Français	02:03 min	0 Fcfa	OUI	https://mega.nz/embed/5JozlTxS#Y3SoeARfUnAmKmr4HDd4kCKRtgoV8OUhdBbg6n60lJo!1a
75	Informatique programmation	Wordpress créer un site e-commerce avec woocommerce, edd et ecwid		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/ldB0FbBB#cWvraveTZh7u51ihWy-e_dsHaMgiGAm5sXzW3lC3G58!1a
76	Informatique programmation	Python la formation complète 2024		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/4U5BCI6A#yT9443TYo1XhKe3kxo1KScFTtEj9LB8lyLlqqYM-p3E!1a
77	Informatique programmation	Php & sql de a à z (full stack) (2024)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/1BA1lCxT#IC0YMeOnpaeNvjNOEa4_jDqqHQyIGbPDBmClDd5nKdI!1a
78	Informatique programmation	Next js de a a z (full-stack)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/EJYkwIxJ#zoKKAugt54OBG4ssIpofv6NChrb59NAvERnYUe5OVSg!1a
79	Informatique programmation	Maîtrisez php et devenez autonome en programmation web		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/MQxlSD7S#QTNNH97BnkealcLNOm_fQ0GVx0u-DakdYcBKZlICIyo!1a
80	Informatique programmation	Maitriser laravel avec un projet professionnel de a - z (2024)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/UNhn2LQQ#xW0o_U8Qqy8Ty9Lo9CPFcNr6yxkqtkum3d9h2pO4WKg!1a
81	Informatique programmation	Les fondements de la programmation la conception orientée objet		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/RY4gFSrA#Qpsxm3jeUui35fDl847mrq3BXgkurLQyJ_WcOE4x0x0!1a
82	Informatique programmation	Laravel 9 -build complete multi vendor ecommerce project a-z		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/kZ5FAIhJ#wbAM-Qre6UdtFq7XoWMny0vNkMqUYPzvyOsMpJRbBgA!1a
83	Informatique programmation	L'essentiel de javascript		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/xRwhERiI#ZDXs1msUJWGnIeo2Rf8qmx82gZaQf8Oo1MVVclPFvD8!1a
84	Informatique programmation	L'essentiel de flutter		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/0J4WDBbS#ROAaonQrb1xSxeEP3siZ9D2Ro2qhLLqkrpJArIR_TRY!1a
85	Informatique programmation	L'algorithmique dans le plus petit détail		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/QUZE3RbD#k8LkHkmkERnSZeH2uttSBd6P5sFJJy75zZeV6MRleik!1a
86	Informatique programmation	Java masterclass 2025		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/kcBnUawC#_ZGbZQNOADITCoD6BS4055FfaJnrKwuXzaYrdnIJBoY!1a
87	Informatique programmation	Html et css de a à z (sass et scss inclus) (2025)		03:00 min	0 Fcfa	OUI	https://mega.nz/embed/MIowlYZY#d_8ZHoPmEEs-xEk9jcbW8ULkLUNQ_VaJeGGSGzxHpMI!1a
